timestep,type,latitude,longitude,observation
0,farm,9.6,4.8,1
0,farm,9.6,4.9,1
0,farm,9.7,4.6,1
0,farm,9.7,4.7,1
0,farm,9.7,4.8,1
0,farm,9.7,4.9,1
0,farm,9.8,4.6,1
0,farm,9.8,4.7,1
0,farm,9.8,4.8,1
0,farm,9.8,4.9,1
0,farm,9.9,4.6,1
0,farm,9.9,4.7,1
0,farm,9.9,4.8,1
0,farm,9.9,4.9,1
0,farm,10.0,4.6,1
0,farm,10.0,4.7,1
0,farm,10.0,4.8,1
0,farm,10.0,4.9,1
0,farm,10.1,4.6,1
0,farm,10.1,4.7,1
0,farm,10.1,4.8,1
0,farm,10.1,4.9,1
0,farm,2.8,1.2,1
0,farm,2.8,1.3,1
0,farm,2.8,1.4,1
0,farm,2.8,1.5,1
0,farm,2.8,1.6,1
0,farm,2.8,1.7,1
0,farm,2.8,1.8,1
0,farm,2.9,1.2,1
0,farm,2.9,1.3,1
0,farm,2.9,1.4,1
0,farm,2.9,1.5,1
0,farm,2.9,1.6,1
0,farm,2.9,1.7,1
0,farm,2.9,1.8,1
0,farm,3.0,1.2,1
0,farm,3.0,1.3,1
0,farm,3.0,1.4,1
0,farm,3.0,1.5,1
0,farm,3.0,1.6,1
0,farm,3.0,1.7,1
0,farm,3.0,1.8,1
0,farm,3.1,1.2,1
0,farm,3.1,1.3,1
0,farm,3.1,1.4,1
0,farm,3.1,1.5,1
0,farm,3.1,1.6,1
0,farm,3.1,1.7,1
0,farm,3.1,1.8,1
0,farm,1.4,2.3,1
0,farm,1.4,2.4,1
0,farm,1.4,2.5,1
0,farm,1.5,2.3,1
0,farm,1.5,2.4,1
0,farm,1.5,2.5,1
0,farm,1.6,2.3,1
0,farm,1.6,2.4,1
0,farm,1.6,2.5,1
0,farm,1.7,2.3,1
0,farm,1.7,2.4,1
0,farm,1.7,2.5,1
0,farm,1.8,2.3,1
0,farm,1.8,2.4,1
0,farm,1.8,2.5,1
0,farm,1.9,2.3,1
0,farm,1.9,2.4,1
0,farm,1.9,2.5,1
0,farm,2.0,2.3,1
0,farm,2.0,2.4,1
0,farm,2.0,2.5,1
0,farm,7.7,8.8,1
0,farm,7.7,8.9,1
0,farm,7.7,9.0,1
0,farm,7.7,9.1,1
0,farm,7.7,9.2,1
0,farm,7.8,8.8,1
0,farm,7.8,8.9,1
0,farm,7.8,9.0,1
0,farm,7.8,9.1,1
0,farm,7.8,9.2,1
0,farm,7.9,8.8,1
0,farm,7.9,8.9,1
0,farm,7.9,9.0,1
0,farm,7.9,9.1,1
0,farm,7.9,9.2,1
0,farm,8.0,8.8,1
0,farm,8.0,8.9,1
0,farm,8.0,9.0,1
0,farm,8.0,9.1,1
0,farm,8.0,9.2,1
0,farm,8.1,8.8,1
0,farm,8.1,8.9,1
0,farm,8.1,9.0,1
0,farm,8.1,9.1,1
0,farm,8.1,9.2,1
0,farm,8.2,8.8,1
0,farm,8.2,8.9,1
0,farm,8.2,9.0,1
0,farm,8.2,9.1,1
0,farm,8.2,9.2,1
0,farm,7.9,9.8,1
0,farm,7.9,9.9,1
0,farm,8.0,9.8,1
0,farm,8.0,9.9,1
0,farm,8.1,9.8,1
0,farm,8.1,9.9,1
0,farm,0.0,4.0,1
0,farm,0.0,4.1,1
0,farm,0.0,4.2,1
0,farm,0.1,4.0,1
0,farm,0.1,4.1,1
0,farm,0.1,4.2,1
0,farm,0.2,4.0,1
0,farm,0.2,4.1,1
0,farm,0.2,4.2,1
0,farm,0.3,4.0,1
0,farm,0.3,4.1,1
0,farm,0.3,4.2,1
0,farm,0.4,4.0,1
0,farm,0.4,4.1,1
0,farm,0.4,4.2,1
0,farm,7.9,5.7,1
0,farm,7.9,5.8,1
0,farm,7.9,5.9,1
0,farm,7.9,6.0,1
0,farm,8.0,5.7,1
0,farm,8.0,5.8,1
0,farm,8.0,5.9,1
0,farm,8.0,6.0,1
0,farm,8.1,5.7,1
0,farm,8.1,5.8,1
0,farm,8.1,5.9,1
0,farm,8.1,6.0,1
0,farm,8.2,5.7,1
0,farm,8.2,5.8,1
0,farm,8.2,5.9,1
0,farm,8.2,6.0,1
0,farm,8.3,5.7,1
0,farm,8.3,5.8,1
0,farm,8.3,5.9,1
0,farm,8.3,6.0,1
0,farm,8.4,5.7,1
0,farm,8.4,5.8,1
0,farm,8.4,5.9,1
0,farm,8.4,6.0,1
0,farm,8.5,5.7,1
0,farm,8.5,5.8,1
0,farm,8.5,5.9,1
0,farm,8.5,6.0,1
0,farm,7.2,7.0,1
0,farm,7.2,7.1,1
0,farm,7.2,7.2,1
0,farm,7.2,7.3,1
0,farm,7.2,7.4,1
0,farm,7.2,7.5,1
0,farm,7.2,7.6,1
0,farm,7.3,7.0,1
0,farm,7.3,7.1,1
0,farm,7.3,7.2,1
0,farm,7.3,7.3,1
0,farm,7.3,7.4,1
0,farm,7.3,7.5,1
0,farm,7.3,7.6,1
0,farm,7.4,7.0,1
0,farm,7.4,7.1,1
0,farm,7.4,7.2,1
0,farm,7.4,7.3,1
0,farm,7.4,7.4,1
0,farm,7.4,7.5,1
0,farm,7.4,7.6,1
0,farm,7.5,7.0,1
0,farm,7.5,7.1,1
0,farm,7.5,7.2,1
0,farm,7.5,7.3,1
0,farm,7.5,7.4,1
0,farm,7.5,7.5,1
0,farm,7.5,7.6,1
0,farm,7.6,7.0,1
0,farm,7.6,7.1,1
0,farm,7.6,7.2,1
0,farm,7.6,7.3,1
0,farm,7.6,7.4,1
0,farm,7.6,7.5,1
0,farm,7.6,7.6,1
0,farm,4.0,2.9,1
0,farm,4.0,3.0,1
0,farm,4.0,3.1,1
0,farm,4.0,3.2,1
0,farm,4.0,3.3,1
0,farm,4.1,2.9,1
0,farm,4.1,3.0,1
0,farm,4.1,3.1,1
0,farm,4.1,3.2,1
0,farm,4.1,3.3,1
0,farm,9.3,8.2,1
0,farm,9.3,8.3,1
0,farm,9.3,8.4,1
0,farm,9.4,8.2,1
0,farm,9.4,8.3,1
0,farm,9.4,8.4,1
0,farm,9.5,8.2,1
0,farm,9.5,8.3,1
0,farm,9.5,8.4,1
0,farm,9.6,8.2,1
0,farm,9.6,8.3,1
0,farm,9.6,8.4,1
0,farm,9.7,8.2,1
0,farm,9.7,8.3,1
0,farm,9.7,8.4,1
0,farm,9.8,8.2,1
0,farm,9.8,8.3,1
0,farm,9.8,8.4,1
0,well,2.8,1.6,-23.235345202175655
0,well,2.5,0.8,-17.663263967835892
0,well,3.8,1.2,-11.07249160392298
0,well,9.9,1.6,-5.494002114911632
0,well,8.2,8.2,-14.789177525526135
0,well,5.9,4.6,-12.620329536278122
0,well,2.5,9.5,-5.240452906594041
0,well,7.9,8.5,-19.258903283814288
0,well,9.2,8.4,-15.407440212099635
0,well,8.9,7.1,-8.425245452156453
0,well,7.3,2.5,-5.631117794574795
0,well,4.5,1.2,-6.1418177985400915
0,well,8.8,5.7,-19.765998439288897
0,well,6.0,8.9,-5.55897119758306
0,well,9.2,2.4,-5.121374552205791
1,well,2.8,1.6,-24.480630283043233
1,well,2.5,0.8,-18.59311312499333
1,well,3.8,1.2,-12.026683484674185
1,well,9.9,1.6,-7.658569880006058
1,well,8.2,8.2,-17.324302310950266
1,well,5.9,4.6,-14.916825520235358
1,well,2.5,9.5,-7.107827897231007
1,well,7.9,8.5,-21.58699588240119
1,well,9.2,8.4,-17.501773287036013
1,well,8.9,7.1,-10.090453739127062
1,well,7.3,2.5,-6.29435787411948
1,well,4.5,1.2,-7.945353399360559
1,well,8.8,5.7,-23.189526315763167
1,well,6.0,8.9,-6.356564736312482
1,well,9.2,2.4,-7.658392223550315
2,well,2.8,1.6,-23.04248477562588
2,well,2.5,0.8,-15.376101316905558
2,well,3.8,1.2,-9.839413912804051
2,well,9.9,1.6,-4.1844094439205115
2,well,8.2,8.2,-13.385106492894796
2,well,5.9,4.6,-11.77358695224537
2,well,2.5,9.5,-3.722313751778624
2,well,7.9,8.5,-18.442711241458813
2,well,9.2,8.4,-15.851879048117905
2,well,8.9,7.1,-8.275209701920465
2,well,7.3,2.5,-3.9853605771239136
2,well,4.5,1.2,-5.260714547176483
2,well,8.8,5.7,-19.267304432069306
2,well,6.0,8.9,-5.033633237294741
2,well,9.2,2.4,-3.4578106951538032
3,well,2.8,1.6,-22.124713532621566
3,well,2.5,0.8,-15.732483383945358
3,well,3.8,1.2,-9.751776849400954
3,well,9.9,1.6,-4.754663456218696
3,well,8.2,8.2,-12.961868952278436
3,well,5.9,4.6,-12.062291366914287
3,well,2.5,9.5,-4.059335829997258
3,well,7.9,8.5,-19.685581510499684
3,well,9.2,8.4,-14.982634143835314
3,well,8.9,7.1,-7.629281174889343
3,well,7.3,2.5,-4.117007321402178
3,well,4.5,1.2,-5.153140085411319
3,well,8.8,5.7,-19.131815910472007
3,well,6.0,8.9,-4.855970128084967
3,well,9.2,2.4,-4.46777495207625
4,well,2.8,1.6,-22.940566629017372
4,well,2.5,0.8,-16.660380191780945
4,well,3.8,1.2,-10.48501089420298
4,well,9.9,1.6,-5.844307778315708
4,well,8.2,8.2,-14.770722989656562
4,well,5.9,4.6,-12.290332239762098
4,well,2.5,9.5,-4.782679864885558
4,well,7.9,8.5,-20.831866100990656
4,well,9.2,8.4,-16.18306000513173
4,well,8.9,7.1,-9.248589386965865
4,well,7.3,2.5,-6.457165745643063
4,well,4.5,1.2,-6.209235441826619
4,well,8.8,5.7,-19.824501328504343
4,well,6.0,8.9,-5.86447151169749
4,well,9.2,2.4,-5.437041153233694
5,well,2.8,1.6,-24.719105988257613
5,well,2.5,0.8,-18.09979847736163
5,well,3.8,1.2,-12.179701171575159
5,well,9.9,1.6,-7.553661198372562
5,well,8.2,8.2,-15.516566654951834
5,well,5.9,4.6,-14.720901644954111
5,well,2.5,9.5,-7.162148546591151
5,well,7.9,8.5,-23.31422526644844
5,well,9.2,8.4,-18.057939555516356
5,well,8.9,7.1,-10.319159155389304
5,well,7.3,2.5,-6.070038103973607
5,well,4.5,1.2,-8.040349989805977
5,well,8.8,5.7,-22.317118854842562
5,well,6.0,8.9,-8.147904825201334
5,well,9.2,2.4,-7.195844745495173
6,well,2.8,1.6,-22.8259112356339
6,well,2.5,0.8,-15.535119249652723
6,well,3.8,1.2,-9.607382871046651
6,well,9.9,1.6,-3.6785670546436826
6,well,8.2,8.2,-14.101952747281375
6,well,5.9,4.6,-11.824518069161522
6,well,2.5,9.5,-5.6970484696332315
6,well,7.9,8.5,-19.28515229394695
6,well,9.2,8.4,-15.389091865859553
6,well,8.9,7.1,-7.835398407823992
6,well,7.3,2.5,-4.41002715067873
6,well,4.5,1.2,-4.752087816977985
6,well,8.8,5.7,-19.79475340045787
6,well,6.0,8.9,-4.726710134390165
6,well,9.2,2.4,-3.724617270447161
7,well,2.8,1.6,-22.85228850271718
7,well,2.5,0.8,-15.822671786771533
7,well,3.8,1.2,-9.647953623613535
7,well,9.9,1.6,-4.662141474594415
7,well,8.2,8.2,-13.710805223108007
7,well,5.9,4.6,-11.479756168210901
7,well,2.5,9.5,-4.457332305436287
7,well,7.9,8.5,-19.68299768983443
7,well,9.2,8.4,-15.067622348109683
7,well,8.9,7.1,-7.560595789239108
7,well,7.3,2.5,-5.222805582309965
7,well,4.5,1.2,-5.162737330502009
7,well,8.8,5.7,-19.760122325370034
7,well,6.0,8.9,-5.02668904175269
7,well,9.2,2.4,-4.177130507664385
8,well,2.8,1.6,-23.136697588992668
8,well,2.5,0.8,-17.125850718932412
8,well,3.8,1.2,-10.815262840163678
8,well,9.9,1.6,-5.917388120900987
8,well,8.2,8.2,-16.19674351672449
8,well,5.9,4.6,-13.504544485254458
8,well,2.5,9.5,-5.634362130172752
8,well,7.9,8.5,-20.829935316439915
8,well,9.2,8.4,-16.075937981319967
8,well,8.9,7.1,-9.314663797884878
8,well,7.3,2.5,-6.070577849112385
8,well,4.5,1.2,-6.212657812152601
8,well,8.8,5.7,-20.43447650861751
8,well,6.0,8.9,-5.7961380902992845
8,well,9.2,2.4,-4.834142861250064
9,well,2.8,1.6,-26.4772302526515
9,well,2.5,0.8,-18.488921578511732
9,well,3.8,1.2,-13.435597338093578
9,well,9.9,1.6,-7.559948141946416
9,well,8.2,8.2,-16.36266733816241
9,well,5.9,4.6,-14.941593444933881
9,well,2.5,9.5,-7.944528966185118
9,well,7.9,8.5,-23.823909297329077
9,well,9.2,8.4,-19.05805811775623
9,well,8.9,7.1,-11.520674971997952
9,well,7.3,2.5,-7.921749487988004
9,well,4.5,1.2,-7.806715938079564
9,well,8.8,5.7,-22.66621165372076
9,well,6.0,8.9,-7.996136428865302
9,well,9.2,2.4,-8.070170098247791
10,well,2.8,1.6,-22.92057409800354
10,well,2.5,0.8,-16.28310504695304
10,well,3.8,1.2,-9.155870996544705
10,well,9.9,1.6,-4.565563763698337
10,well,8.2,8.2,-14.306545780067022
10,well,5.9,4.6,-12.311777678849548
10,well,2.5,9.5,-4.955164130786917
10,well,7.9,8.5,-20.133677217016416
10,well,9.2,8.4,-16.058373810951014
10,well,8.9,7.1,-9.512380732741073
10,well,7.3,2.5,-4.510602979726897
10,well,4.5,1.2,-4.824761486421987
10,well,8.8,5.7,-19.12455300731502
10,well,6.0,8.9,-5.23963377928945
10,well,9.2,2.4,-4.581406544627894
11,well,2.8,1.6,-23.69815786946149
11,well,2.5,0.8,-16.319840819484728
11,well,3.8,1.2,-9.965587109160593
11,well,9.9,1.6,-4.657439425959238
11,well,8.2,8.2,-15.085521728252075
11,well,5.9,4.6,-13.092634667010886
11,well,2.5,9.5,-4.933040812338842
11,well,7.9,8.5,-20.12513867820094
11,well,9.2,8.4,-16.372091809173735
11,well,8.9,7.1,-8.727048872673036
11,well,7.3,2.5,-5.600218668015122
11,well,4.5,1.2,-5.39558612039572
11,well,8.8,5.7,-19.60129405884775
11,well,6.0,8.9,-5.12559056812466
11,well,9.2,2.4,-4.9892509226782735
12,well,2.8,1.6,-23.98380768032519
12,well,2.5,0.8,-17.96009405650539
12,well,3.8,1.2,-11.591897047714621
12,well,9.9,1.6,-6.4158164683020225
12,well,8.2,8.2,-15.828107544143855
12,well,5.9,4.6,-13.756650412450302
12,well,2.5,9.5,-6.006976815406086
12,well,7.9,8.5,-22.437947424579427
12,well,9.2,8.4,-16.97802279178447
12,well,8.9,7.1,-9.755142729894708
12,well,7.3,2.5,-5.6401528670390775
12,well,4.5,1.2,-6.204840867866721
12,well,8.8,5.7,-20.917716414109805
12,well,6.0,8.9,-5.97459426129755
12,well,9.2,2.4,-6.500502156016044
13,well,2.8,1.6,-25.982448176398066
13,well,2.5,0.8,-19.453665880153885
13,well,3.8,1.2,-13.828516395754315
13,well,9.9,1.6,-7.668389061844693
13,well,8.2,8.2,-17.48991680304412
13,well,5.9,4.6,-15.033975651075117
13,well,2.5,9.5,-8.132765201238719
13,well,7.9,8.5,-23.900919179709764
13,well,9.2,8.4,-18.813059020578503
13,well,8.9,7.1,-11.759068330445627
13,well,7.3,2.5,-7.776973894076547
13,well,4.5,1.2,-8.874531286574003
13,well,8.8,5.7,-23.16196016112825
13,well,6.0,8.9,-8.583056454681403
13,well,9.2,2.4,-8.594085317894235
14,well,2.8,1.6,-23.69069763837319
14,well,2.5,0.8,-16.074407001562754
14,well,3.8,1.2,-9.994693890723921
14,well,9.9,1.6,-5.33483485452929
14,well,8.2,8.2,-14.722400095978596
14,well,5.9,4.6,-12.168615191786255
14,well,2.5,9.5,-5.499251525076196
14,well,7.9,8.5,-20.90549197148811
14,well,9.2,8.4,-16.342523725745963
14,well,8.9,7.1,-7.9018762215936835
14,well,7.3,2.5,-5.09900647630357
14,well,4.5,1.2,-5.086343916376524
14,well,8.8,5.7,-19.5711218744868
14,well,6.0,8.9,-5.136565722925926
14,well,9.2,2.4,-5.504956449229646
15,well,2.8,1.6,-23.12247888022284
15,well,2.5,0.8,-15.700451091646578
15,well,3.8,1.2,-9.552617183070073
15,well,9.9,1.6,-4.954216348984715
15,well,8.2,8.2,-15.011648420815861
15,well,5.9,4.6,-12.203203927790687
15,well,2.5,9.5,-4.927449530795386
15,well,7.9,8.5,-18.8370020775009
15,well,9.2,8.4,-15.670907474873776
15,well,8.9,7.1,-7.470735170281009
15,well,7.3,2.5,-5.18024145375023
15,well,4.5,1.2,-5.4144141444958365
15,well,8.8,5.7,-19.04270853126232
15,well,6.0,8.9,-4.272758390065416
15,well,9.2,2.4,-4.348647986398781
16,well,2.8,1.6,-23.875459726346016
16,well,2.5,0.8,-16.568358752226562
16,well,3.8,1.2,-10.596962356456732
16,well,9.9,1.6,-5.945760523938536
16,well,8.2,8.2,-14.250868154290144
16,well,5.9,4.6,-12.18790870494499
16,well,2.5,9.5,-6.201719502528682
16,well,7.9,8.5,-20.305616266329515
16,well,9.2,8.4,-16.212853229705466
16,well,8.9,7.1,-8.019363300248832
16,well,7.3,2.5,-4.919401174270145
16,well,4.5,1.2,-5.839066627854842
16,well,8.8,5.7,-20.882604033147725
16,well,6.0,8.9,-5.288281337190213
16,well,9.2,2.4,-4.63481556164111
17,well,2.8,1.6,-24.992866047198707
17,well,2.5,0.8,-18.47810008604506
17,well,3.8,1.2,-12.684247735743872
17,well,9.9,1.6,-7.52058879713261
17,well,8.2,8.2,-17.444869956551038
17,well,5.9,4.6,-15.09247449747571
17,well,2.5,9.5,-7.652307629966505
17,well,7.9,8.5,-21.836269876984943
17,well,9.2,8.4,-18.872500346843363
17,well,8.9,7.1,-10.945264560939378
17,well,7.3,2.5,-7.2900858511219395
17,well,4.5,1.2,-7.506535451909894
17,well,8.8,5.7,-22.381895561170573
17,well,6.0,8.9,-7.775296600185292
17,well,9.2,2.4,-6.496829240509546
18,well,2.8,1.6,-22.332455755223684
18,well,2.5,0.8,-15.939103283230429
18,well,3.8,1.2,-10.066499813984667
18,well,9.9,1.6,-4.299192769886778
18,well,8.2,8.2,-13.789952259900138
18,well,5.9,4.6,-12.167652729125466
18,well,2.5,9.5,-5.186030151623912
18,well,7.9,8.5,-20.053608919823024
18,well,9.2,8.4,-14.7743171530379
18,well,8.9,7.1,-8.39328290364062
18,well,7.3,2.5,-3.9334679718579957
18,well,4.5,1.2,-4.967225362021047
18,well,8.8,5.7,-20.150436771757573
18,well,6.0,8.9,-4.107539685053096
18,well,9.2,2.4,-4.584256043731646
19,well,2.8,1.6,-21.958575262153786
19,well,2.5,0.8,-15.8113948840532
19,well,3.8,1.2,-9.402825835220135
19,well,9.9,1.6,-4.478766904481701
19,well,8.2,8.2,-14.394429317022816
19,well,5.9,4.6,-12.020408986882112
19,well,2.5,9.5,-3.8948858713812426
19,well,7.9,8.5,-19.663623064297692
19,well,9.2,8.4,-14.90791588250958
19,well,8.9,7.1,-6.806804570669005
19,well,7.3,2.5,-3.9034430130559308
19,well,4.5,1.2,-4.568727678347106
19,well,8.8,5.7,-19.78482259207454
19,well,6.0,8.9,-4.388831250404458
19,well,9.2,2.4,-4.700231137270625
20,well,2.8,1.6,-24.231425180349127
20,well,2.5,0.8,-16.775993072528134
20,well,3.8,1.2,-10.743562622142822
20,well,9.9,1.6,-5.869118925257632
20,well,8.2,8.2,-14.531148243306939
20,well,5.9,4.6,-13.163613691159936
20,well,2.5,9.5,-5.997189321719645
20,well,7.9,8.5,-21.06509913684387
20,well,9.2,8.4,-16.920215619570296
20,well,8.9,7.1,-9.046745018259331
20,well,7.3,2.5,-5.013860855549081
20,well,4.5,1.2,-5.743464864004661
20,well,8.8,5.7,-20.345425021447802
20,well,6.0,8.9,-5.625685390478259
20,well,9.2,2.4,-5.944723001303899
21,well,2.8,1.6,-26.2940485947297
21,well,2.5,0.8,-18.119209029728683
21,well,3.8,1.2,-13.246416896343261
21,well,9.9,1.6,-8.852452507924275
21,well,8.2,8.2,-16.66768258923509
21,well,5.9,4.6,-15.867928532883209
21,well,2.5,9.5,-6.8971079440430465
21,well,7.9,8.5,-22.684777758471107
21,well,9.2,8.4,-18.166761762524704
21,well,8.9,7.1,-11.05392565360875
21,well,7.3,2.5,-7.265257098495242
21,well,4.5,1.2,-7.959946786201774
21,well,8.8,5.7,-22.378086546981528
21,well,6.0,8.9,-9.28998867067361
21,well,9.2,2.4,-7.948220030960051
22,well,2.8,1.6,-21.91407384487985
22,well,2.5,0.8,-14.977969372020308
22,well,3.8,1.2,-10.269254650812686
22,well,9.9,1.6,-4.399550992197747
22,well,8.2,8.2,-14.033196625543516
22,well,5.9,4.6,-12.068848632233019
22,well,2.5,9.5,-4.985043576694693
22,well,7.9,8.5,-19.858155259391065
22,well,9.2,8.4,-14.79865274052664
22,well,8.9,7.1,-7.913565654852693
22,well,7.3,2.5,-4.7179867510043785
22,well,4.5,1.2,-5.30381382038717
22,well,8.8,5.7,-19.642304731503305
22,well,6.0,8.9,-4.746691416497366
22,well,9.2,2.4,-3.9139136637160643
23,well,2.8,1.6,-23.769921411206035
23,well,2.5,0.8,-16.399622283177195
23,well,3.8,1.2,-9.726703718227135
23,well,9.9,1.6,-5.266791657791404
23,well,8.2,8.2,-14.31041330521239
23,well,5.9,4.6,-11.268132088102764
23,well,2.5,9.5,-4.311169813411688
23,well,7.9,8.5,-19.949155344371867
23,well,9.2,8.4,-16.29071480267184
23,well,8.9,7.1,-8.534598047598097
23,well,7.3,2.5,-5.120997114559134
23,well,4.5,1.2,-5.017004422295925
23,well,8.8,5.7,-19.34131864269746
23,well,6.0,8.9,-5.754874671549457
23,well,9.2,2.4,-4.902181507340704
24,well,2.8,1.6,-23.995271245813814
24,well,2.5,0.8,-16.368458518294627
24,well,3.8,1.2,-10.496847965895304
24,well,9.9,1.6,-5.372011148402798
24,well,8.2,8.2,-15.863108643560253
24,well,5.9,4.6,-13.099581416501474
24,well,2.5,9.5,-6.761730618130286
24,well,7.9,8.5,-20.429185210232347
24,well,9.2,8.4,-16.754131031291788
24,well,8.9,7.1,-8.768528667830248
24,well,7.3,2.5,-5.438827909913744
24,well,4.5,1.2,-5.617616736418809
24,well,8.8,5.7,-20.012895918798154
24,well,6.0,8.9,-5.144284969593209
24,well,9.2,2.4,-6.641000900175345
25,well,2.8,1.6,-25.62966083184165
25,well,2.5,0.8,-18.79808785095085
25,well,3.8,1.2,-12.842127606272769
25,well,9.9,1.6,-8.251351637910435
25,well,8.2,8.2,-17.97360987298876
25,well,5.9,4.6,-15.337280941368379
25,well,2.5,9.5,-7.8326729461295335
25,well,7.9,8.5,-22.3293268814366
25,well,9.2,8.4,-17.920816168709084
25,well,8.9,7.1,-10.459417278596646
25,well,7.3,2.5,-8.444951864610397
25,well,4.5,1.2,-8.897121991060061
25,well,8.8,5.7,-23.035695036477016
25,well,6.0,8.9,-8.282868795808387
25,well,9.2,2.4,-6.619697167506721
26,well,2.8,1.6,-22.472803355862744
26,well,2.5,0.8,-15.950852176621474
26,well,3.8,1.2,-9.881574943823606
26,well,9.9,1.6,-4.484525010319491
26,well,8.2,8.2,-14.128698953621772
26,well,5.9,4.6,-12.054153148745407
26,well,2.5,9.5,-5.277381485658904
26,well,7.9,8.5,-19.51680663949056
26,well,9.2,8.4,-14.936552536685983
26,well,8.9,7.1,-8.129605663666306
26,well,7.3,2.5,-4.656644863942696
26,well,4.5,1.2,-5.01438901847519
26,well,8.8,5.7,-20.145527525376384
26,well,6.0,8.9,-5.0145034680938405
26,well,9.2,2.4,-4.758694145632536
27,well,2.8,1.6,-23.358036520854416
27,well,2.5,0.8,-15.03381505150439
27,well,3.8,1.2,-9.193189088955274
27,well,9.9,1.6,-4.85791145830008
27,well,8.2,8.2,-15.309929471056344
27,well,5.9,4.6,-12.477479503140536
27,well,2.5,9.5,-5.078541157847654
27,well,7.9,8.5,-20.08154938782286
27,well,9.2,8.4,-15.893126781019156
27,well,8.9,7.1,-8.376386188413639
27,well,7.3,2.5,-3.954601115328559
27,well,4.5,1.2,-5.074624253115235
27,well,8.8,5.7,-20.125164987361956
27,well,6.0,8.9,-4.597481029320117
27,well,9.2,2.4,-5.546331083823059
28,well,2.8,1.6,-24.653622965800988
28,well,2.5,0.8,-17.30473234206892
28,well,3.8,1.2,-10.902220400468192
28,well,9.9,1.6,-6.399579492348669
28,well,8.2,8.2,-15.922727077777841
28,well,5.9,4.6,-12.905511376572845
28,well,2.5,9.5,-6.193234553705166
28,well,7.9,8.5,-21.052485807680018
28,well,9.2,8.4,-16.409655299618773
28,well,8.9,7.1,-8.8233893269483
28,well,7.3,2.5,-5.652731686535458
28,well,4.5,1.2,-5.876172702996066
28,well,8.8,5.7,-20.384249332729954
28,well,6.0,8.9,-6.354721899961765
28,well,9.2,2.4,-5.817719748105199
29,well,2.8,1.6,-25.71953541626496
29,well,2.5,0.8,-18.453499129409018
29,well,3.8,1.2,-13.345647055360045
29,well,9.9,1.6,-8.283729499221552
29,well,8.2,8.2,-17.3662002749912
29,well,5.9,4.6,-15.82961056915867
29,well,2.5,9.5,-7.534027139162898
29,well,7.9,8.5,-23.43900434226338
29,well,9.2,8.4,-18.400148045144764
29,well,8.9,7.1,-11.308681624003283
29,well,7.3,2.5,-7.722914174706886
29,well,4.5,1.2,-8.489866570902398
29,well,8.8,5.7,-22.290189618033146
29,well,6.0,8.9,-8.010392539988095
29,well,9.2,2.4,-7.645328491702524
30,well,2.8,1.6,-23.163207055919493
30,well,2.5,0.8,-16.480168427494586
30,well,3.8,1.2,-10.931623110781373
30,well,9.9,1.6,-4.236715161476265
30,well,8.2,8.2,-14.710165080272557
30,well,5.9,4.6,-13.347988148077537
